envio_id,fecha_envio,semana_inicio,sede_id,ciudad,departamento,macrozona,transportista,vehiculo,distancia_km,lluvia_flag,lluvia_mm,minutos_objetivo,minutos_reales,tardanza_flag,bultos,costo_soles
ENV-00001,2026-03-03,2026-03-02,SED-01,Lima,Lima,Costa,Apu Express,Van,76.4,1,12.0,150.4,213.6,1,22,325.64
ENV-00002,2026-03-04,2026-03-02,SED-01,Lima,Lima,Costa,Apu Express,Moto,44.7,0,0.0,101.9,80.9,0,10,186.43
ENV-00003,2026-03-03,2026-03-02,SED-01,Lima,Lima,Costa,Río Rápido,Van,34.4,0,0.0,98.0,110.3,1,5,152.38
ENV-00004,2026-03-03,2026-03-02,SED-01,Lima,Lima,Costa,Costa Norte,Camión,211.2,0,0.0,355.0,496.7,1,8,480.03
ENV-00005,2026-03-08,2026-03-02,SED-01,Lima,Lima,Costa,Apu Express,Van,122.0,0,0.0,207.5,213.6,0,19,353.48
ENV-00006,2026-03-04,2026-03-02,SED-01,Lima,Lima,Costa,Costa Norte,Van,78.9,0,0.0,153.7,158.3,0,34,322.49
ENV-00007,2026-03-06,2026-03-02,SED-01,Lima,Lima,Costa,Apu Express,Van,33.3,0,0.0,96.6,96.1,0,38,252.77
ENV-00008,2026-03-03,2026-03-02,SED-01,Lima,Lima,Costa,Apu Express,Moto,64.8,0,0.0,123.0,154.9,1,7,213.32
ENV-00009,2026-03-08,2026-03-02,SED-02,Piura,Piura,Costa,Costa Norte,Van,37.1,1,5.3,101.3,117.3,1,34,292.12
ENV-00010,2026-03-04,2026-03-02,SED-02,Piura,Piura,Costa,Río Rápido,Van,87.9,0,0.0,164.9,162.8,0,37,347.94
ENV-00011,2026-03-04,2026-03-02,SED-02,Piura,Piura,Costa,Río Rápido,Moto,135.5,1,12.2,197.2,234.6,1,38,481.65
ENV-00012,2026-03-07,2026-03-02,SED-02,Piura,Piura,Costa,Río Rápido,Van,53.3,0,0.0,121.6,158.1,1,39,291.81
ENV-00013,2026-03-04,2026-03-02,SED-02,Piura,Piura,Costa,Costa Norte,Van,103.7,0,0.0,184.6,174.8,0,9,289.53
ENV-00014,2026-03-03,2026-03-02,SED-02,Piura,Piura,Costa,Río Rápido,Camión,158.9,1,21.4,280.6,345.8,1,41,533.13
ENV-00015,2026-03-05,2026-03-02,SED-02,Piura,Piura,Costa,Río Rápido,Moto,302.5,0,0.0,372.6,419.0,1,16,669.05
ENV-00016,2026-03-02,2026-03-02,SED-02,Piura,Piura,Costa,Apu Express,Camión,61.0,0,0.0,141.6,120.1,0,41,311.93
ENV-00017,2026-03-03,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Apu Express,Camión,39.1,1,5.5,110.5,106.3,0,27,274.0
ENV-00018,2026-03-07,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Costa Norte,Moto,87.2,1,23.9,146.6,184.4,1,8,301.84
ENV-00019,2026-03-06,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Río Rápido,Moto,25.2,0,0.0,81.5,110.1,1,20,182.45
ENV-00020,2026-03-03,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Apu Express,Moto,106.6,0,0.0,166.9,230.3,1,37,381.6
ENV-00021,2026-03-02,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Costa Norte,Van,235.6,0,0.0,349.5,362.3,0,6,517.7
ENV-00022,2026-03-04,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Apu Express,Camión,136.9,1,9.2,249.3,338.7,1,37,481.04
ENV-00023,2026-03-06,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Río Rápido,Van,8.0,0,0.0,65.0,75.3,1,17,142.1
ENV-00024,2026-03-05,2026-03-02,SED-03,Trujillo,La Libertad,Costa,Apu Express,Moto,28.4,0,0.0,84.8,85.4,0,9,153.98
ENV-00025,2026-03-04,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Camión,78.6,0,0.0,166.6,202.4,1,21,281.52
ENV-00026,2026-03-03,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Camión,122.1,1,10.9,228.4,268.3,1,19,398.66
ENV-00027,2026-03-06,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Van,168.7,0,0.0,265.8,257.5,0,33,480.89
ENV-00028,2026-03-06,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Río Rápido,Moto,108.0,0,0.0,168.4,147.1,0,21,334.48
ENV-00029,2026-03-02,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Costa Norte,Camión,50.8,1,9.8,127.2,138.1,0,33,313.82
ENV-00030,2026-03-06,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Río Rápido,Moto,179.1,0,0.0,243.0,359.6,1,17,450.04
ENV-00031,2026-03-02,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Río Rápido,Van,76.4,0,0.0,150.6,156.6,0,8,237.41
ENV-00032,2026-03-03,2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Apu Express,Camión,136.7,1,11.1,249.1,251.7,0,16,415.64
ENV-00033,2026-03-05,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Apu Express,Van,48.6,1,8.2,115.7,148.5,1,18,263.26
ENV-00034,2026-03-04,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Moto,148.6,1,20.9,211.0,305.0,1,12,424.62
ENV-00035,2026-03-07,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Río Rápido,Van,20.9,1,4.3,81.2,108.6,1,29,247.56
ENV-00036,2026-03-03,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Van,134.5,0,0.0,223.1,261.1,1,35,425.55
ENV-00037,2026-03-07,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Camión,273.3,0,0.0,443.1,527.4,1,6,585.57
ENV-00038,2026-03-05,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Moto,32.8,1,4.5,89.5,99.2,0,16,228.71
ENV-00039,2026-03-05,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Apu Express,Van,112.1,1,18.8,195.2,249.8,1,27,405.56
ENV-00040,2026-03-06,2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Costa Norte,Moto,430.0,0,0.0,506.5,602.9,1,40,973.0
ENV-00041,2026-03-02,2026-03-02,SED-06,Cusco,Cusco,Sierra,Río Rápido,Moto,173.0,1,6.2,236.6,343.1,1,18,487.16
