fecha,sede_id,ciudad,departamento,macrozona,fase_campania,festival_abierto_flag,fin_de_semana_flag,lluvia_flag,promocion_activa_flag,inversion_publicitaria_soles,vistas_video_miles,entradas_vendidas,ventas_soles
2026-03-01,SED-01,Lima,Lima,Costa,Antes del video,1,1,0,0,328.1,11.41,586,20996.89
2026-03-01,SED-02,Piura,Piura,Costa,Antes del video,0,1,0,0,353.98,4.57,30,1091.71
2026-03-01,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,1,0,0,245.19,6.46,27,986.12
2026-03-01,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,1,1,0,0.0,6.09,18,628.6
2026-03-01,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,1,0,0,37.05,3.84,29,1010.11
2026-03-01,SED-06,Cusco,Cusco,Sierra,Antes del video,0,1,0,0,350.29,9.56,31,1080.8
2026-03-01,SED-07,Puno,Puno,Sierra,Antes del video,0,1,1,0,199.11,4.43,19,650.7
2026-03-01,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,1,0,0,124.38,5.65,15,542.13
2026-03-01,SED-09,Huancayo,Junín,Sierra,Antes del video,0,1,0,0,97.72,6.09,23,825.02
2026-03-01,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,1,1,0,59.76,2.15,15,523.64
2026-03-01,SED-11,Iquitos,Loreto,Selva,Antes del video,0,1,1,0,122.61,8.65,13,442.75
2026-03-01,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,1,0,0,199.88,2.32,19,656.39
2026-03-02,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,215.76,8.59,328,11343.08
2026-03-02,SED-02,Piura,Piura,Costa,Antes del video,0,0,0,0,239.01,6.53,20,694.42
2026-03-02,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,0,0,276.32,4.0,19,688.57
2026-03-02,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,473.5,5.45,17,584.62
2026-03-02,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,273.69,4.26,18,631.12
2026-03-02,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,139.65,7.89,19,666.53
2026-03-02,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,217.35,2.43,12,403.97
2026-03-02,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,491.42,5.44,12,416.11
2026-03-02,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,178.98,5.24,13,463.64
2026-03-02,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,279.86,9.12,13,456.87
2026-03-02,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,198.62,6.92,13,459.21
2026-03-02,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,333.94,6.94,11,390.02
2026-03-03,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,507.67,8.18,355,12299.26
2026-03-03,SED-02,Piura,Piura,Costa,Antes del video,0,0,0,0,290.25,0.2,17,626.06
2026-03-03,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,0,0,346.17,1.54,20,719.08
2026-03-03,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,360.73,2.86,20,702.91
2026-03-03,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,258.67,5.61,19,697.31
2026-03-03,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,381.58,16.67,19,690.0
2026-03-03,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,426.75,5.57,14,494.94
2026-03-03,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,421.67,5.27,15,557.49
2026-03-03,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,290.92,7.19,20,690.63
2026-03-03,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,1,0,224.3,5.33,13,469.48
2026-03-03,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,12.14,5.09,11,392.88
2026-03-03,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,245.57,5.28,13,440.07
2026-03-04,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,468.98,10.21,413,14570.5
2026-03-04,SED-02,Piura,Piura,Costa,Antes del video,0,0,0,0,227.04,3.51,19,675.9
2026-03-04,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,1,0,281.99,6.23,16,550.62
2026-03-04,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,107.83,1.39,17,604.55
2026-03-04,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,1,0,286.06,1.72,17,605.34
2026-03-04,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,0,0,322.03,8.81,27,976.3
2026-03-04,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,219.54,6.93,16,552.47
2026-03-04,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,275.02,4.14,12,421.05
2026-03-04,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,0,0,107.39,4.6,15,546.49
2026-03-04,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,1,0,265.94,0.2,12,435.26
2026-03-04,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,1,0,177.09,5.06,11,393.17
2026-03-04,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,265.34,4.48,14,473.97
2026-03-05,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,336.29,10.35,369,13045.15
2026-03-05,SED-02,Piura,Piura,Costa,Antes del video,0,0,0,0,185.78,1.32,18,610.97
2026-03-05,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,0,0,420.84,8.67,19,674.81
2026-03-05,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,0,0,187.99,7.09,16,587.39
2026-03-05,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,1,0,342.92,9.15,19,664.72
2026-03-05,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,1,0,237.5,10.21,18,654.2
2026-03-05,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,283.73,5.27,18,636.0
2026-03-05,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,174.57,4.22,12,447.04
2026-03-05,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,1,0,192.9,1.17,13,473.02
2026-03-05,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,0,0,196.27,1.31,11,388.01
2026-03-05,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,264.8,2.23,16,563.83
2026-03-05,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,0,0,217.72,2.71,13,457.47
2026-03-06,SED-01,Lima,Lima,Costa,Antes del video,1,0,0,0,262.99,5.58,340,11646.15
2026-03-06,SED-02,Piura,Piura,Costa,Antes del video,1,0,1,0,298.91,3.43,155,5525.33
2026-03-06,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,0,1,0,288.01,5.99,17,586.31
2026-03-06,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,0,1,0,262.65,0.2,15,538.17
2026-03-06,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,0,0,0,145.36,5.95,19,729.08
2026-03-06,SED-06,Cusco,Cusco,Sierra,Antes del video,0,0,1,0,407.75,7.94,16,556.83
2026-03-06,SED-07,Puno,Puno,Sierra,Antes del video,0,0,0,0,151.02,2.99,13,472.18
2026-03-06,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,0,0,0,389.54,5.06,12,433.28
2026-03-06,SED-09,Huancayo,Junín,Sierra,Antes del video,0,0,1,0,331.18,9.75,14,488.82
2026-03-06,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,0,1,0,254.38,5.35,13,461.63
2026-03-06,SED-11,Iquitos,Loreto,Selva,Antes del video,0,0,0,0,332.12,4.55,15,534.26
2026-03-06,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,0,1,0,96.77,1.17,10,355.35
2026-03-07,SED-01,Lima,Lima,Costa,Antes del video,1,1,0,0,229.35,9.38,631,22241.53
2026-03-07,SED-02,Piura,Piura,Costa,Antes del video,1,1,0,0,45.54,5.34,303,10748.55
2026-03-07,SED-03,Trujillo,La Libertad,Costa,Antes del video,0,1,0,0,176.98,0.2,29,1019.85
2026-03-07,SED-04,Chiclayo,Lambayeque,Costa,Antes del video,0,1,0,0,273.41,2.23,28,942.85
2026-03-07,SED-05,Arequipa,Arequipa,Sierra,Antes del video,0,1,1,0,211.7,3.59,31,1137.04
2026-03-07,SED-06,Cusco,Cusco,Sierra,Antes del video,0,1,0,0,296.8,5.03,30,1069.49
2026-03-07,SED-07,Puno,Puno,Sierra,Antes del video,0,1,0,0,443.88,8.37,25,885.83
2026-03-07,SED-08,Ayacucho,Ayacucho,Sierra,Antes del video,0,1,0,0,82.68,4.06,17,591.02
2026-03-07,SED-09,Huancayo,Junín,Sierra,Antes del video,0,1,0,0,247.04,7.12,18,633.83
2026-03-07,SED-10,Tarapoto,San Martín,Selva,Antes del video,0,1,0,0,342.34,5.74,22,775.7
2026-03-07,SED-11,Iquitos,Loreto,Selva,Antes del video,0,1,1,0,364.5,5.83,18,660.23
2026-03-07,SED-12,Pucallpa,Ucayali,Selva,Antes del video,0,1,1,0,191.56,3.17,14,488.11
2026-03-08,SED-01,Lima,Lima,Costa,Antes del video,1,1,0,0,231.99,12.77,496,17199.35
